Date,Precipitation (inches),Snowfall (inches),Snow depth (inches),Maximum Fahrenheit Temperature,Minimum Fahrenheit Temperature ,Mean Fahrenheit Temperature,Mean  Celcius Temperature,,count,724,715,702,633,623,603
2025-11-28,0,0,0,29,20,24.5,-4.166666667,,,,,,,,
2025-11-29,T,T,0,28,16,22,-5.555555556,,,,,,,,
2025-11-30,0.32,7,7,24,21,22.5,-5.277777778,,,,,,,,
2025-12-01,0,0,5,24,5,14.5,-9.722222222,,,,,,,,
2025-12-02,0,0,5,19,5,12,-11.11111111,,,,,,,,
2025-12-03,0.07,0.5,5,26,13,19.5,-6.944444444,,,,,,,,
2025-12-04,0,0,M,25,-4,10.5,-11.94444444,,,,,,,,
2025-12-05,0,0,M,25,-4,10.5,-11.94444444,,,,,,,,
2025-12-06,0.02,0.2,M,27,19,23,-5,,,,,,,,
2025-12-07,0.01,0.1,M,27,5,16,-8.888888889,,,,,,,,
2025-12-08,0,0,6,12,1,6.5,-14.16666667,,,,,,,,
2025-12-09,0.02,0.5,7,27,9,18,-7.777777778,,,,,,,,
2025-12-10,0.2,0.4,7,29,22,25.5,-3.611111111,,,,,,,,
2025-12-11,0,0,7,22,14,18,-7.777777778,,,,,,,,
2025-12-12,0,0,7,22,1,11.5,-11.38888889,,,,,,,,
2025-12-13,T,T,7,21,-3,9,-12.77777778,,,,,,,,
2025-12-14,0,0,7,5,-8,-1.5,-18.61111111,,,,,,,,
2025-12-15,0,0,7,16,-10,3,-16.11111111,,,,,,,,
2025-12-16,0,0,7,26,12,19,-7.222222222,,,,,,,,
2025-12-17,0,0,7,45,13,29,-1.666666667,,,,,,,,
2025-12-18,0.02,0,5,42,21,31.5,-0.277777778,,,,,,,,
2025-12-19,0.05,0,4,38,0,19,-7.222222222,,,,,,,,
2025-12-20,0,0,4,26,-1,12.5,-10.83333333,,,,,,,,
2025-12-21,0,0,4,26,-1,12.5,-10.83333333,,,,,,,,
2025-12-22,0.02,0.1,4,33,6,19.5,-6.944444444,,,,,,,,
2025-12-23,0,0,4,39,22,30.5,-0.833333333,,,,,,,,
2025-12-24,0,0,4,35,21,28,-2.222222222,,,,,,,,
2025-12-25,0,0,4,34,25,29.5,-1.388888889,,,,,,,,
2025-12-26,0,0,4,35,24,29.5,-1.388888889,,,,,,,,
2025-12-27,0,0,4,35,31,33,0.555555556,,,,,,,,
2025-12-28,0,0,3,36,32,34,1.111111111,,,,,,,,
2025-12-29,0.28,1,4,35,12,23.5,-4.722222222,,,,,,,,
2025-12-30,0,0,4,15,4,9.5,-12.5,,,,,,,,
2025-12-31,T,T,4,35,2,18.5,-7.5,,,,,,,,
2026-01-01,0.02,1,5,35,6,20.5,-6.388888889,,,,,,,,
2026-01-02,0.02,0.5,5,14,6,10,-12.22222222,,,,,,,,
2026-01-03,0,0,5,16,7,11.5,-11.38888889,,,,,,,,
2026-01-04,0,0,5,21,11,16,-8.888888889,,,,,,,,
2026-01-05,T,0,3,33,13,23,-5,,,,,,,,
2026-01-06,0.72,0,3,33,20,26.5,-3.055555556,,,,,,,,
2026-01-07,0,0,3,33,22,27.5,-2.5,,,,,,,,
2026-01-08,0,0,2,42,26,34,1.111111111,,,,,,,,
2026-01-09,0.14,0,2,32,20,26,-3.333333333,,,,,,,,
2026-01-10,0.02,T,2,36,20,28,-2.222222222,,,,,,,,
2026-01-11,0,0,2,24,18,21,-6.111111111,,,,,,,,
2026-01-12,0,0,2,27,16,21.5,-5.833333333,,,,,,,,
2026-01-13,0,0,2,45,22,33.5,0.833333333,,,,,,,,
2026-01-14,0,0,2,45,17,31,-0.555555556,,,,,,,,
2026-01-15,0,0,2,M,M,M,#VALUE!,,,,,,,,
2026-01-16,0,0,2,M,M,M,#VALUE!,,,,,,,,
2026-01-17,M,1,3,M,M,M,#VALUE!,,,,,,,,
2026-01-18,0,0,3,M,M,M,#VALUE!,,,,,,,,
2026-01-19,0.04,1,4,M,M,M,#VALUE!,,,,,,,,
2026-01-20,0,0,4,M,M,M,#VALUE!,,,,,,,,
2026-01-21,T,T,3,M,M,M,#VALUE!,,,,,,,,
2026-01-22,0.05,0.5,4,M,M,M,#VALUE!,,,,,,,,
2026-01-23,0,0,4,8,-19,-5.5,-20.83333333,,,,,,,,
2026-01-24,0,0,4,-6,-19,-12.5,-24.72222222,,,,,,,,
2026-01-25,0,0,4,M,M,M,#VALUE!,,,,,,,,
2026-01-26,0,0,4,M,M,M,#VALUE!,,,,,,,,
2026-01-27,0,0,4,17,-13,2,-16.66666667,,,,,,,,
2026-01-28,0,0,4,11,-1,5,-15,,,,,,,,
2026-01-29,0,0,4,13,-4,4.5,-15.27777778,,,,,,,,
2026-01-30,0,0,4,M,M,M,#VALUE!,,,,,,,,
2026-01-31,0,0,4,M,M,M,#VALUE!,,,,,,,,
2026-02-01,0.04,0.5,4,M,M,M,#VALUE!,,,,,,,,
2026-02-02,0.05,1,5,M,M,M,#VALUE!,,,,,,,,
2026-02-03,0,0,5,M,M,M,#VALUE!,,,,,,,,
2026-02-04,0,0,4,20,2,11,-11.66666667,,,,,,,,
2026-02-05,0,0,4,M,M,M,#VALUE!,,,,,,,,
2026-02-06,0,0,4,M,M,M,#VALUE!,,,,,,,,
2026-02-07,0,0,4,M,M,M,#VALUE!,,,,,,,,
2026-02-08,0,0,4,M,M,M,#VALUE!,,,,,,,,
2026-02-09,0,0,1,M,M,M,#VALUE!,,,,,,,,
2026-02-10,0,0,0,M,M,M,#VALUE!,,,,,,,,
2026-02-11,0,0,0,M,M,M,#VALUE!,,,,,,,,
2026-02-12,0,0,0,M,M,M,#VALUE!,,,,,,,,
2026-02-13,0,0,0,M,M,M,#VALUE!,,,,,,,,
2026-02-14,0,0,0,M,M,M,#VALUE!,,,,,,,,
2026-02-15,0,0,0,M,M,M,#VALUE!,,,,,,,,
2026-02-16,0,0,0,M,M,M,#VALUE!,,,,,,,,
2026-02-17,0,0,0,M,M,M,#VALUE!,,,,,,,,
2026-02-18,0.12,0,0,M,M,M,#VALUE!,,,,,,,,
2026-02-19,0.3,4,4,M,M,M,#VALUE!,,,,,,,,
2026-02-20,0,0,4,M,M,M,#VALUE!,,,,,,,,
2026-02-21,0,0,4,M,M,M,#VALUE!,,,,,,,,
2026-02-22,0,0,4,M,M,M,#VALUE!,,,,,,,,
2026-02-23,0,0,2,M,M,M,#VALUE!,,,,,,,,
2026-02-24,0,0,2,M,M,M,#VALUE!,,,,,,,,
2026-02-25,0,0,2,M,M,M,#VALUE!,,,,,,,,
2026-02-26,0,0,2,M,M,M,#VALUE!,,,,,,,,
2026-02-27,0,0,0,45,16,30.5,-0.833333333,,,,,,,,
2026-02-28,0,0,0,M,M,M,#VALUE!,,,,,,,,
2026-03-01,0,0,0,M,M,M,#VALUE!,,,,,,,,
2026-03-02,0,0,0,M,M,M,#VALUE!,,,,,,,,
2026-03-03,0,0,0,M,M,M,#VALUE!,,,,,,,,
2026-03-04,0,0,0,M,M,M,#VALUE!,,,,,,,,
2026-03-05,0,0,0,M,M,M,#VALUE!,,,,,,,,
2026-03-06,0,0,0,M,M,M,#VALUE!,,,,,,,,
2026-03-07,0.36,0,0,M,M,M,#VALUE!,,,,,,,,
2026-03-08,0.03,0,0,M,M,M,#VALUE!,,,,,,,,
2026-03-09,0,0,0,M,M,M,#VALUE!,,,,,,,,
2026-03-10,0,0,0,M,M,M,#VALUE!,,,,,,,,
2026-03-11,0.02,0,0,M,M,M,#VALUE!,,,,,,,,
2026-03-12,0.04,0,0,41,25,33,0.555555556,,,,,,,,
2026-03-13,0.13,0,0,45,24,34.5,1.388888889,,,,,,,,
2026-03-14,0,0,0,38,24,31,-0.555555556,,,,,,,,
2026-03-15,0.6,8,8,32,23,27.5,-2.5,,,,,,,,
2026-03-16,M,M,M,M,M,M,#VALUE!,,,,,,,,
2026-03-17,0,0,7,20,7,13.5,-10.27777778,,,,,,,,
2026-03-18,0.15,1.5,8,24,2,13,-10.55555556,,,,,,,,
2026-03-19,0,0,5,M,M,M,#VALUE!,,,,,,,,
2026-03-20,0,0,5,M,M,M,#VALUE!,,,,,,,,
2026-03-21,0,0,M,M,M,M,#VALUE!,,,,,,,,
2026-03-22,0,0,0,M,M,M,#VALUE!,,,,,,,,
2026-03-23,0,0,0,41,28,34.5,1.388888889,,,,,,,,
2026-03-24,T,0,0,45,27,36,2.222222222,,,,,,,,
2026-03-25,0,0,0,51,35,43,6.111111111,,,,,,,,
2026-03-26,0,0,0,72,42,57,13.88888889,,,,,,,,
2026-03-27,0,0,0,M,M,M,#VALUE!,,,,,,,,
2026-03-28,0,0,0,M,M,M,#VALUE!,,,,,,,,
2026-03-29,0,0,0,M,M,M,#VALUE!,,,,,,,,
2026-03-30,0,0,0,M,M,M,#VALUE!,,,,,,,,
2026-03-31,0,0,0,M,M,M,#VALUE!,,,,,,,,
2026-04-01,0,0,0,M,M,M,#VALUE!,,,,,,,,
2026-04-02,0.2,0,0,43,31,37,2.777777778,,,,,,,,
2026-04-03,0.39,0,0,37,32,34.5,1.388888889,,,,,,,,
2026-04-04,0.38,0,0,41,32,36.5,2.5,,,,,,,,
2026-04-05,0.04,0,0,39,32,35.5,1.944444444,,,,,,,,
2026-04-06,0.02,0,0,M,M,M,#VALUE!,,,,,,,,
2026-04-07,0,0,0,M,M,M,#VALUE!,,,,,,,,
2026-04-08,0,0,0,M,M,M,#VALUE!,,,,,,,,
2026-04-09,0,0,0,64,36,50,10,,,,,,,,
2026-04-10,0.05,0,0,49,36,42.5,5.833333333,,,,,,,,
2026-04-11,0,0,0,55,34,44.5,6.944444444,,,,,,,,
2026-04-12,0.23,0,0,54,35,44.5,6.944444444,,,,,,,,
2026-04-13,0.03,0,0,M,M,M,#VALUE!,,,,,,,,
2026-04-14,0,0,0,75,49,62,16.66666667,,,,,,,,
2026-04-15,0,0,0,M,49,M,#VALUE!,,,,,,,,
2026-04-16,0,0,0,M,45,M,#VALUE!,,,,,,,,
2026-04-17,0,0,0,78,44,61,16.11111111,,,,,,,,
2026-04-18,M,0,0,70,32,51,10.55555556,,,,,,,,
2026-04-19,0,0,0,46,31,38.5,3.611111111,,,,,,,,
2026-04-20,0,0,0,47,29,38,3.333333333,,,,,,,,
2026-04-21,0,0,0,62,29,45.5,7.5,,,,,,,,
2026-04-22,0,0,0,76,M,M,#VALUE!,,,,,,,,
2026-04-23,0,0,0,M,M,M,#VALUE!,,,,,,,,
2026-04-24,0.46,0,0,M,M,M,#VALUE!,,,,,,,,
2026-04-25,0,0,0,M,M,M,#VALUE!,,,,,,,,
2026-04-26,0.07,0,0,M,M,M,#VALUE!,,,,,,,,
2026-04-27,0.07,0,0,67,46,56.5,13.61111111,,,,,,,,
2026-04-28,0.71,0,0,60,44,52,11.11111111,,,,,,,,
2026-04-29,0,0,0,58,44,51,10.55555556,,,,,,,,
2026-04-30,0,0,0,55,38,46.5,8.055555556,,,,,,,,
2026-05-01,0,0,0,52,37,44.5,6.944444444,,,,,,,,
2026-05-02,0,0,0,54,37,45.5,7.5,,,,,,,,
2026-05-03,0,0,0,66,36,51,10.55555556,,,,,,,,
2026-05-04,0,0,0,M,M,M,#VALUE!,,,,,,,,
2026-05-05,0,0,0,M,M,M,#VALUE!,,,,,,,,
2026-05-06,0,0,0,51,34,42.5,5.833333333,,,,,,,,
2026-05-07,0,0,0,M,32,M,#VALUE!,,,,,,,,
2026-05-08,0,0,0,58,32,45,7.222222222,,,,,,,,
2026-05-09,0,0,0,70,32,51,10.55555556,,,,,,,,
2026-05-10,T,0,0,60,40,50,10,,,,,,,,
2026-05-11,0,0,0,60,40,50,10,,,,,,,,
2026-05-12,0.01,0,0,68,40,54,12.22222222,,,,,,,,
2026-05-13,0,0,0,70,49,59.5,15.27777778,,,,,,,,
2026-05-14,0,0,0,71,47,59,15,,,,,,,,
2026-05-15,0.03,0,0,79,51,65,18.33333333,,,,,,,,
2026-05-16,0,0,0,89,53,71,21.66666667,,,,,,,,
2026-05-17,0,0,0,80,56,68,20,,,,,,,,
2026-05-18,0.38,0,0,68,53,60.5,15.83333333,,,,,,,,
2026-05-19,0.56,0,0,69,53,61,16.11111111,,,,,,,,
2026-05-20,0.02,0,0,53,43,48,8.888888889,,,,,,,,
2026-05-21,0,0,0,M,M,M,#VALUE!,,,,,,,,
2026-05-22,0,0,0,64,47,55.5,13.05555556,,,,,,,,
2026-05-23,0.1,0,0,M,M,M,#VALUE!,,,,,,,,
2026-05-24,0,0,0,M,M,M,#VALUE!,,,,,,,,
2026-05-25,0.01,0,0,84,49,66.5,19.16666667,,,,,,,,
2026-05-26,0,0,0,86,61,73.5,23.05555556,,,,,,,,
2026-05-27,0,0,0,88,65,76.5,24.72222222,,,,,,,,
2026-05-28,0,0,0,91,64,77.5,25.27777778,,,,,,,,
2026-05-29,0,0,0,84,63,73.5,23.05555556,,,,,,,,
2026-05-30,0,0,0,85,64,74.5,23.61111111,,,,,,,,
2026-05-31,0,0,0,82,61,71.5,21.94444444,,,,,,,,
2026-06-01,0.33,M,M,M,M,M,#VALUE!,,,,,,,,
2026-06-02,0,M,M,79,59,69,20.55555556,,,,,,,,
2026-06-03,0,M,M,79,59,69,20.55555556,,,,,,,,
2026-06-04,0,0,0,85,63,74,23.33333333,,,,,,,,
2026-06-05,0,0,0,83,65,74,23.33333333,,,,,,,,
2026-06-06,0,0,0,83,63,73,22.77777778,,,,,,,,
2026-06-07,0,0,0,86,62,74,23.33333333,,,,,,,,
2026-06-08,0.06,M,M,84,66,75,23.88888889,,,,,,,,
2026-06-09,0.04,M,M,80,69,74.5,23.61111111,,,,,,,,
2026-06-10,0.19,M,M,84,70,77,25,,,,,,,,
2026-06-11,0.24,M,M,90,65,77.5,25.27777778,,,,,,,,
2026-06-12,0.16,M,M,70,58,64,17.77777778,,,,,,,,
2026-06-13,0.06,M,M,82,60,71,21.66666667,,,,,,,,
2026-06-14,0,M,M,74,60,67,19.44444444,,,,,,,,
2026-06-15,0,0,0,73,52,62.5,16.94444444,,,,,,,,
2026-06-16,0.1,0,0,79,51,65,18.33333333,,,,,,,,
2026-06-17,0.13,0,0,74,55,64.5,18.05555556,,,,,,,,
2026-06-18,0.56,M,M,M,M,M,#VALUE!,,,,,,,,
2026-06-19,0,M,M,M,M,M,#VALUE!,,,,,,,,
2026-06-20,0.05,M,M,M,M,M,#VALUE!,,,,,,,,
2026-06-21,0,M,M,77,56,66.5,19.16666667,,,,,,,,
2026-06-22,0,M,M,76,55,65.5,18.61111111,,,,,,,,
